Date1,State,beds_icu_covid,icu_covid,icu_usage,vent_covid,vent,vent_usage,Date,Total Cases
7-Jun,Pulau Pinang,43,39,90.7,26,33,78.79,07-Jun,153
7-Jun,Sabah,85,96,112.94,32,111,28.83,07-Jun,336
7-Jun,Sarawak,106,98,92.45,28,140,20,07-Jun,703
7-Jun,Selangor,250,293,117.2,183,275,66.55,07-Jun,1374
7-Jun,Terengganu,26,21,80.77,10,41,24.39,07-Jun,117
7-Jun,W.P. Kuala Lumpur,119,122,102.52,77,143,53.85,07-Jun,469
7-Jun,W.P. Labuan,11,15,136.36,9,14,64.29,07-Jun,209
7-Jun,W.P. Putrajaya,8,8,100,5,28,17.86,07-Jun,8
8-Jun,Johor,114,126,110.53,91,134,67.91,08-Jun,456
8-Jun,Kedah,73,66,90.41,34,105,32.38,08-Jun,148
8-Jun,Kelantan,56,37,66.07,19,124,15.32,08-Jun,204
8-Jun,Melaka,70,63,90,15,59,25.42,08-Jun,314
8-Jun,Negeri Sembilan,59,63,106.78,50,52,96.15,08-Jun,505
8-Jun,Pahang,53,28,52.83,16,65,24.62,08-Jun,157
8-Jun,Perak,71,54,76.06,33,93,35.48,08-Jun,225
8-Jun,Perlis,8,7,87.5,6,16,37.5,08-Jun,1
8-Jun,Pulau Pinang,43,36,83.72,23,33,69.7,08-Jun,185
8-Jun,Sabah,85,97,114.12,34,111,30.63,08-Jun,350
8-Jun,Sarawak,106,102,96.23,29,140,20.71,08-Jun,707
8-Jun,Selangor,250,309,123.6,180,275,65.45,08-Jun,1526
8-Jun,Terengganu,26,20,76.92,10,41,24.39,08-Jun,106
8-Jun,W.P. Kuala Lumpur,119,123,103.36,79,143,55.24,08-Jun,468
8-Jun,W.P. Labuan,11,16,145.45,9,14,64.29,08-Jun,191
8-Jun,W.P. Putrajaya,8,8,100,6,28,21.43,08-Jun,27
9-Jun,Johor,114,124,108.77,88,134,65.67,09-Jun,469
9-Jun,Kedah,73,60,82.19,33,105,31.43,09-Jun,135
9-Jun,Kelantan,56,33,58.93,17,124,13.71,09-Jun,340
9-Jun,Melaka,70,59,84.29,17,59,28.81,09-Jun,150
9-Jun,Negeri Sembilan,59,67,113.56,49,52,94.23,09-Jun,511
9-Jun,Pahang,53,27,50.94,12,65,18.46,09-Jun,232
9-Jun,Perak,71,52,73.24,28,93,30.11,09-Jun,175
9-Jun,Perlis,8,7,87.5,7,16,43.75,09-Jun,4
9-Jun,Pulau Pinang,43,34,79.07,18,33,54.55,09-Jun,194
9-Jun,Sabah,107,103,96.26,34,101,33.66,09-Jun,232
9-Jun,Sarawak,106,99,93.4,34,140,24.29,09-Jun,419
9-Jun,Selangor,250,316,126.4,184,275,66.91,09-Jun,2294
9-Jun,Terengganu,26,20,76.92,14,41,34.15,09-Jun,171
9-Jun,W.P. Kuala Lumpur,127,128,100.79,80,143,55.94,09-Jun,707
9-Jun,W.P. Labuan,11,17,154.55,11,14,78.57,09-Jun,200
9-Jun,W.P. Putrajaya,8,8,100,6,28,21.43,09-Jun,17
10-Jun,Johor,114,118,103.51,90,134,67.16,10-Jun,525
10-Jun,Kedah,73,58,79.45,30,105,28.57,10-Jun,309
10-Jun,Kelantan,56,33,58.93,18,124,14.52,10-Jun,262
10-Jun,Melaka,70,55,78.57,14,59,23.73,10-Jun,184
10-Jun,Negeri Sembilan,59,79,133.9,58,52,111.54,10-Jun,593
10-Jun,Pahang,53,26,49.06,9,65,13.85,10-Jun,112
10-Jun,Perak,71,50,70.42,26,93,27.96,10-Jun,143
10-Jun,Perlis,8,8,100,7,16,43.75,10-Jun,3
10-Jun,Pulau Pinang,45,37,82.22,17,33,51.52,10-Jun,166
10-Jun,Sabah,107,95,88.79,36,101,35.64,10-Jun,233
10-Jun,Sarawak,106,98,92.45,33,140,23.57,10-Jun,631
10-Jun,Selangor,250,308,123.2,179,275,65.09,10-Jun,1514
10-Jun,Terengganu,26,18,69.23,14,41,34.15,10-Jun,108
10-Jun,W.P. Kuala Lumpur,127,118,92.91,78,143,54.55,10-Jun,772
10-Jun,W.P. Labuan,18,17,94.44,12,10,120,10-Jun,106
10-Jun,W.P. Putrajaya,8,8,100,6,28,21.43,10-Jun,18
11-Jun,Johor,114,123,107.89,84,134,62.69,11-Jun,426
11-Jun,Kedah,73,55,75.34,21,105,20,11-Jun,161
11-Jun,Kelantan,56,32,57.14,17,124,13.71,11-Jun,248
11-Jun,Melaka,70,53,75.71,15,59,25.42,11-Jun,170
11-Jun,Negeri Sembilan,59,88,149.15,62,52,119.23,11-Jun,685
11-Jun,Pahang,53,20,37.74,6,65,9.23,11-Jun,89
11-Jun,Perak,71,49,69.01,22,93,23.66,11-Jun,161
11-Jun,Perlis,8,7,87.5,6,16,37.5,11-Jun,2
11-Jun,Pulau Pinang,45,37,82.22,20,33,60.61,11-Jun,205
11-Jun,Sabah,107,96,89.72,37,101,36.63,11-Jun,309
11-Jun,Sarawak,106,102,96.23,33,140,23.57,11-Jun,699
11-Jun,Selangor,250,313,125.2,175,275,63.64,11-Jun,2562
11-Jun,Terengganu,26,18,69.23,16,41,39.02,11-Jun,66
11-Jun,W.P. Kuala Lumpur,127,132,103.94,76,143,53.15,11-Jun,884
11-Jun,W.P. Labuan,18,17,94.44,9,10,90,11-Jun,176
11-Jun,W.P. Putrajaya,8,7,87.5,6,28,21.43,11-Jun,10
